YEAR,REGION,AGE_GROUP,GENDER,GENDER_LABEL,POPULATION_INSEE,NB_DEPARTMENTS
2022,Île-de-France,40-59 ans,F,F,3291352,1
2022,Île-de-France,40-59 ans,M,M,3165662,1
2022,Île-de-France,60-74 ans,ALL,Ensemble,3404618,1
2022,Île-de-France,60-74 ans,F,F,1827922,1
2022,Île-de-France,60-74 ans,M,M,1576696,1
2022,Île-de-France,75+ ans,ALL,Ensemble,1784352,1
2022,Île-de-France,75+ ans,F,F,1076682,1
2022,Île-de-France,75+ ans,M,M,707670,1
2023,Auvergne-Rhone-Alpes,0-19 ans,ALL,Ensemble,1938376,1
2023,Auvergne-Rhone-Alpes,0-19 ans,F,F,942869,1
2023,Auvergne-Rhone-Alpes,0-19 ans,M,M,995507,1
2023,Auvergne-Rhone-Alpes,20-39 ans,ALL,Ensemble,1951065,1
2023,Auvergne-Rhone-Alpes,20-39 ans,F,F,976150,1
2023,Auvergne-Rhone-Alpes,20-39 ans,M,M,974915,1
2023,Auvergne-Rhone-Alpes,40-59 ans,ALL,Ensemble,2114570,1
2023,Auvergne-Rhone-Alpes,40-59 ans,F,F,1066450,1
2023,Auvergne-Rhone-Alpes,40-59 ans,M,M,1048120,1
2023,Auvergne-Rhone-Alpes,60-74 ans,ALL,Ensemble,1368424,1
2023,Auvergne-Rhone-Alpes,60-74 ans,F,F,721657,1
2023,Auvergne-Rhone-Alpes,60-74 ans,M,M,646767,1
2023,Auvergne-Rhone-Alpes,75+ ans,ALL,Ensemble,824001,1
2023,Auvergne-Rhone-Alpes,75+ ans,F,F,492440,1
2023,Auvergne-Rhone-Alpes,75+ ans,M,M,331561,1
2023,Auvergne-Rhône-Alpes,0-19 ans,ALL,Ensemble,3876752,1
2023,Auvergne-Rhône-Alpes,0-19 ans,F,F,1885738,1
2023,Auvergne-Rhône-Alpes,0-19 ans,M,M,1991014,1
2023,Auvergne-Rhône-Alpes,20-39 ans,ALL,Ensemble,3902130,1
2023,Auvergne-Rhône-Alpes,20-39 ans,F,F,1952300,1
2023,Auvergne-Rhône-Alpes,20-39 ans,M,M,1949830,1
2023,Auvergne-Rhône-Alpes,40-59 ans,ALL,Ensemble,4229140,1
2023,Auvergne-Rhône-Alpes,40-59 ans,F,F,2132900,1
2023,Auvergne-Rhône-Alpes,40-59 ans,M,M,2096240,1
2023,Auvergne-Rhône-Alpes,60-74 ans,ALL,Ensemble,2736848,1
2023,Auvergne-Rhône-Alpes,60-74 ans,F,F,1443314,1
